"Circumstance","April","August","December","February","January","July","June","March","May","November","October","September"
"All other manslaughter by negligence",13,25,13,17,15,20,14,11,14,17,6,33
"All suspected felony type",6,14,13,8,7,17,13,10,9,14,22,20
"Argument over money or property",21,21,14,12,29,15,23,18,11,9,16,25
"Arson",4,0,3,1,2,0,10,2,4,1,0,4
"Brawl due to influence of alcohol",7,8,8,12,13,24,10,11,13,11,10,9
"Brawl due to influence of narcotics",10,11,9,10,12,14,9,9,10,10,7,20
"Burglary",4,5,5,7,5,8,18,10,4,6,9,9
"Child killed by babysitter",1,1,1,1,1,4,5,6,1,2,5,4
"Children playing with gun",3,0,1,1,1,2,1,3,1,1,3,1
"Circumstances undetermined",453,540,566,412,535,560,452,438,521,503,579,521
"Felon killed by police",32,37,37,50,54,47,47,43,38,19,34,26
"Felon killed by private citizen",37,28,37,37,44,38,32,31,53,30,34,31
"Gambling",0,0,1,0,2,1,0,3,2,0,0,1
"Gangland killings",48,30,22,10,48,44,15,25,41,28,32,31
"Gun-cleaning death - other than self",0,0,0,0,0,1,0,1,0,0,0,0
"Institutional killings",1,1,0,2,2,4,2,2,1,0,1,0
"Juvenile gang killings",42,33,31,21,36,35,24,34,44,24,32,30
"Larceny",3,3,2,1,3,0,2,1,2,0,1,2
"Lovers triangle",12,19,12,13,19,11,13,14,8,18,9,16
"Motor vehicle theft",5,8,1,0,1,4,1,1,5,1,3,1
"Narcotic drug laws",44,44,38,44,64,47,59,53,52,45,54,50
"Other",166,206,197,163,225,229,196,187,223,193,215,189
"Other arguments",305,290,225,238,242,289,301,264,270,282,283,254
"Other negligent handling of gun",10,7,7,10,7,8,6,10,8,5,6,7
"Other - not specified",131,106,120,82,148,134,131,105,112,107,129,108
"Other sex offense",1,0,0,1,0,1,2,0,0,1,1,1
"Prostitution and commercialized vice",4,0,0,1,1,2,0,2,2,2,1,0
"Rape",4,1,2,1,1,1,2,0,3,1,0,2
"Robbery",51,58,50,55,79,70,52,48,53,58,61,47
"Sniper attack",0,1,0,1,0,0,0,0,0,0,1,0
"Victim shot in hunting accident",0,0,0,0,0,0,0,0,0,1,1,0
