"state","female","male","unknown"
"Alabama",0,2,0
"Alaska",3,57,15
"Arizona",36,281,141
"Arkansas",24,179,49
"California",77,1038,878
"Colorado",16,181,36
"Connecticut",6,59,41
"Delaware",8,33,20
"District of Columbia",3,56,66
"Florida",78,814,340
"Georgia",52,443,211
"Hawaii",5,29,8
"Idaho",2,24,2
"Illinois",35,285,516
"Indiana",20,214,154
"Iowa",8,66,30
"Kansas",11,109,15
"Kentucky",34,174,71
"Louisiana",37,373,200
"Maine",4,27,4
"Maryland",14,240,238
"Massachusetts",8,97,65
"Michigan",56,355,181
"Minnesota",10,99,24
"Mississippi",10,116,33
"Missouri",55,340,243
"Montana",9,28,4
"Nebraska",3,26,17
"Nevada",20,216,65
"New Hampshire",1,13,1
"New Jersey",14,156,175
"New Mexico",7,119,16
"New York",49,371,151
"North Carolina",32,373,173
"North Dakota",3,19,0
"Ohio",45,383,265
"Oklahoma",30,199,43
"Oregon",12,86,12
"Pennsylvania",46,336,408
"Rhodes Island",1,13,6
"South Carolina",44,291,74
"South Dakota",5,19,0
"Tennessee",41,380,136
"Texas",109,1054,345
"Utah",15,62,4
"Vermont",0,12,2
"Virginia",38,313,112
"Washington",29,169,41
"West Virginia",12,49,18
"Wisconsin",14,165,43
"Wyoming",2,12,0
